stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
20,1,20.0,15.168321399949491,,15.154860300011933,15.168321399949491,15.66865639993921,15.66865639993921,15.66865639993921,,15.787517299875617,right,20.0,1,1,0.11420880001969635,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
21,0.5,20.0,15.801393199944869,,15.78785780002363,15.801393199944869,16.30129550001584,16.30129550001584,16.30129550001584,16.602107899961993,16.63682959997095,right,20.0,1,1,0.328688699984923,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
22,0.5,19.5,16.652164099970832,,16.637163599953055,16.652164099970832,17.15192909981124,17.15192909981124,17.15192909981124,,17.33740870002657,left,-19.5,0,0,0.17010430013760924,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
23,0.5,20.0,17.351623199880123,,17.337776700034738,17.351623199880123,17.85155969997868,17.85155969997868,17.85155969997868,,17.920652099885046,right,20.0,1,1,0.06225980003364384,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
24,0.5,20.0,17.935287500033155,,17.920934199821204,17.935287500033155,18.43498449982144,18.43498449982144,18.43498449982144,,18.68679429986514,left,-20.0,0,0,0.24188370001502335,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
25,0.5,20.0,18.701636799843982,,18.68718139990233,18.701636799843982,19.20195210003294,19.20195210003294,19.20195210003294,,19.337187899975106,left,-20.0,0,0,0.13033760013058782,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
26,0.5,20.0,19.350735399872065,,19.33754409989342,19.350735399872065,19.83496609982103,19.83496609982103,19.85122609999962,,19.92111420002766,right,20.0,1,1,0.07894430006854236,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
27,0.5,20.0,19.935185099951923,,19.921491199871525,19.935185099951923,20.43415530002676,20.43415530002676,20.43415530002676,20.734091199934483,20.83612969983369,left,-20.0,1,1,0.39298880007117987,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
28,0.5,20.0,20.851323399925604,,20.836436599958688,20.851323399925604,21.334902999922633,21.334902999922633,21.351689799921587,21.63456659996882,21.620914899976924,right,20.0,1,1,0.2825692999176681,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
29,0.5,19.5,21.63456659996882,,21.621221699984744,21.63456659996882,22.134278499986976,22.134278499986976,22.134278499986976,,22.270468099974096,left,-19.5,0,0,0.12849980010651052,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
30,0.5,20.0,22.284901999868453,,22.27081949985586,22.284901999868453,22.784644400002435,22.784644400002435,22.784644400002435,23.08457940001972,23.15369509998709,right,20.0,1,1,0.36063340003602207,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
31,0.5,20.0,23.16804619994946,,23.154016299871728,23.16804619994946,23.66792169981636,23.66792169981636,23.66792169981636,,23.68640369991772,right,20.0,1,1,0.009319200180470943,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
32,0.5,20.0,23.70086560002528,,23.686755399918184,23.70086560002528,24.201067099813372,24.201067099813372,24.201067099813372,,24.22056239983067,right,20.0,1,1,0.008524799952283502,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
33,0.5,19.5,24.234621099894866,,24.22090209997259,24.234621099894866,24.734729300020263,24.734729300020263,24.734729300020263,25.034921899903566,25.053394499933347,right,19.5,1,1,0.30186209990642965,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
34,0.5,19.5,25.067823000019416,,25.053710999898612,25.067823000019416,25.5684462999925,25.5684462999925,25.5684462999925,,25.703412799863145,right,19.5,1,1,0.11724769999273121,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
35,0.5,19.5,25.7180738998577,,25.703707499895245,25.7180738998577,26.218289899872616,26.218289899872616,26.218289899872616,,26.40333030000329,right,19.5,1,1,0.17397030000574887,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
36,0.5,19.0,26.41772359982133,,26.403663499979302,26.41772359982133,26.918414999963716,26.918414999963716,26.918414999963716,,26.970622499939054,right,19.0,1,1,0.034930799854919314,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
37,0.5,19.0,26.98479019990191,,26.97092489991337,26.98479019990191,27.485003300011158,27.485003300011158,27.485003300011158,,27.621264199959114,right,19.0,1,1,0.13105510012246668,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
38,0.5,19.0,27.63454409991391,,27.621593700023368,27.63454409991391,28.13464879989624,28.13464879989624,28.13464879989624,,28.187472800025716,right,19.0,1,1,0.046724499901756644,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
39,0.5,18.5,28.201333199860528,,28.18776119989343,28.201333199860528,28.70101540000178,28.70101540000178,28.70101540000178,,28.93757489998825,left,-18.5,1,1,0.23348009982146323,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
40,0.5,18.5,28.951112699927762,,28.93789429985918,28.951112699927762,29.45110399997793,29.45110399997793,29.45110399997793,,29.553078099852428,left,-18.5,1,1,0.09237820003181696,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
41,0.5,18.5,29.567499700002372,,29.55340059986338,29.567499700002372,30.06857749982737,30.06857749982737,30.06857749982737,,30.120090199867263,right,18.5,0,0,0.04442879999987781,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
42,0.5,19.0,30.134319099830464,,30.120397899998352,30.134319099830464,30.63443739991635,30.63443739991635,30.63443739991635,,30.754188899882138,right,19.0,0,0,0.11437240010127425,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
43,0.5,19.5,30.768183499807492,,30.754491199972108,30.768183499807492,31.267038999823853,31.267038999823853,31.283852400025353,,31.486233599949628,right,19.5,1,1,0.2045660000294447,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
44,0.5,19.5,31.501116700004786,,31.486560499994084,31.501116700004786,32.00300239981152,32.00300239981152,32.00300239981152,,32.169706099899486,left,-19.5,0,0,0.15650949999690056,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
45,0.5,20.0,32.18483689986169,,32.169993799878284,32.18483689986169,32.68475009989925,32.68475009989925,32.68475009989925,,32.720295999897644,right,20.0,1,1,0.024501699954271317,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
46,0.5,20.0,32.73439749982208,,32.72062629996799,32.73439749982208,33.234844899969175,33.234844899969175,33.234844899969175,33.534780599875376,33.51977999997325,right,20.0,0,0,0.2759514001663774,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
47,0.5,20.0,33.534780599875376,,33.52012789994478,33.534780599875376,34.03415809990838,34.03415809990838,34.03415809990838,,34.10408479999751,right,20.0,0,0,0.06702050007879734,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
48,0.5,20.0,34.11767870001495,,34.10449819988571,34.11767870001495,34.61776569997892,34.61776569997892,34.61776569997892,,34.63693119981326,left,-20.0,1,1,0.007779699983075261,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
49,0.5,20.0,34.65108560002409,,34.63736669998616,34.65108560002409,35.15093779982999,35.15093779982999,35.15093779982999,,35.22089329990558,left,-20.0,1,1,0.06459010019898415,473736,001,2024-09-06_14h21.15.042,Adaptive staircase,2024.2.1post4,59.55489860679121,2024-09-06 14h21.26.111819 +0530,
