stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
28,0.5,18.5,23.953542800154537,,23.939248000038788,23.953542800154537,24.45349430013448,24.45349430013448,24.45349430013448,25.023293199948967,right,18.5,0,0,0.5637091000098735,24.753321500029415,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
29,0.5,19.0,25.036892000120133,,25.023593600140885,25.036892000120133,25.537128600059077,25.537128600059077,25.537128600059077,25.805488999933004,right,19.0,0,0,0.25936030014418066,,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
30,0.5,19.5,25.819938800064847,,25.805791300022975,25.819938800064847,26.320048300083727,26.320048300083727,26.320048300083727,26.756471100030467,left,-19.5,1,1,0.42994860000908375,26.619634400121868,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
31,0.5,19.5,26.770199900027364,,26.756806200137362,26.770199900027364,27.270413200138137,27.270413200138137,27.270413200138137,27.589554300066084,right,19.5,0,0,0.30956820002757013,27.570665900129825,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
32,0.5,20.0,27.603705200133845,,27.58988570002839,27.603705200133845,28.103324700146914,28.103324700146914,28.103324700146914,28.55605689994991,left,-20.0,0,0,0.4490173999220133,28.40323800011538,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
33,0.5,20.0,28.570676099974662,,28.55636480008252,28.570676099974662,29.069677999941632,29.069677999941632,29.086190399946645,29.104295999975875,left,-20.0,0,0,0.028601600090041757,,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
34,0.5,20.0,29.120125000132248,,29.104857499944046,29.120125000132248,29.6034423999954,29.6034423999954,29.62035909993574,29.88985290005803,left,-20.0,0,0,0.27906260010786355,29.903616199968383,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
35,0.5,20.0,29.903616199968383,,29.890306500019506,29.903616199968383,30.40322279999964,30.40322279999964,30.40322279999964,30.755128599936143,right,20.0,0,0,0.3426577001810074,30.703446600120515,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
36,0.5,20.0,30.76989210001193,,30.75542960013263,30.76989210001193,31.270110300043598,31.270110300043598,31.270110300043598,31.80499910004437,right,20.0,1,1,0.519317600177601,31.569453600095585,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
37,0.5,20.0,31.819968200055882,,31.805323200067505,31.819968200055882,32.31976129999384,32.31976129999384,32.31976129999384,32.80326330009848,right,20.0,1,1,0.4726024998817593,32.61979170003906,577618,001,2024-09-06_13h52.11.586,Adaptive staircase,2024.2.1post4,59.686775757302264,2024-09-06 13h52.27.270357 +0530,
