13.0040 	EXP 	grating: ori = -8.5
13.0040 	EXP 	fixation: autoDraw = True
13.3724 	DATA 	Keypress: left
13.5049 	INFO 	Keyboard events cleared
13.5043 	EXP 	fixation: autoDraw = False
13.5043 	EXP 	grating: autoDraw = True
13.8041 	EXP 	grating: autoDraw = False
13.8564 	DATA 	Keypress: right
13.8706 	EXP 	fixation: autoDraw = False
13.8706 	EXP 	grating: autoDraw = False
13.8706 	EXP 	grating: ori = 9.0
13.8706 	EXP 	fixation: autoDraw = True
14.2555 	DATA 	Keypress: left
14.3548 	INFO 	Keyboard events cleared
14.3541 	EXP 	grating: autoDraw = True
14.3709 	EXP 	fixation: autoDraw = False
14.6541 	EXP 	grating: autoDraw = False
14.7246 	DATA 	Keypress: right
14.7568 	EXP 	fixation: autoDraw = False
14.7568 	EXP 	grating: autoDraw = False
14.7568 	EXP 	grating: ori = -9.0
14.7568 	EXP 	fixation: autoDraw = True
15.1578 	DATA 	Keypress: left
15.2577 	INFO 	Keyboard events cleared
15.2564 	EXP 	fixation: autoDraw = False
15.2564 	EXP 	grating: autoDraw = True
15.5706 	EXP 	grating: autoDraw = False
15.5896 	DATA 	Keypress: right
15.6039 	EXP 	fixation: autoDraw = False
15.6039 	EXP 	grating: autoDraw = False
15.6039 	EXP 	grating: ori = 9.5
15.6039 	EXP 	fixation: autoDraw = True
15.9228 	DATA 	Keypress: left
16.1047 	INFO 	Keyboard events cleared
16.1041 	EXP 	fixation: autoDraw = False
16.1041 	EXP 	grating: autoDraw = True
16.4041 	EXP 	grating: autoDraw = False
16.4568 	DATA 	Keypress: right
16.4707 	EXP 	fixation: autoDraw = False
16.4707 	EXP 	grating: autoDraw = False
16.4707 	EXP 	grating: ori = -9.5
16.4707 	EXP 	fixation: autoDraw = True
16.8052 	DATA 	Keypress: right
16.9715 	INFO 	Keyboard events cleared
16.9709 	EXP 	fixation: autoDraw = False
16.9709 	EXP 	grating: autoDraw = True
17.2708 	EXP 	grating: autoDraw = False
17.3228 	DATA 	Keypress: left
17.3374 	EXP 	fixation: autoDraw = False
17.3374 	EXP 	grating: autoDraw = False
17.3374 	EXP 	grating: ori = 9.5
17.3374 	EXP 	fixation: autoDraw = True
17.7055 	DATA 	Keypress: left
17.8383 	INFO 	Keyboard events cleared
17.8377 	EXP 	fixation: autoDraw = False
