25.1276 	EXP 	fixation: autoDraw = False
25.1276 	EXP 	grating: autoDraw = True
25.4274 	EXP 	grating: autoDraw = False
25.6147 	DATA 	Keypress: left
25.6274 	EXP 	fixation: autoDraw = False
25.6274 	EXP 	grating: autoDraw = False
25.6274 	EXP 	grating: ori = -17.0
25.6274 	EXP 	fixation: autoDraw = True
26.0636 	DATA 	Keypress: left
26.1279 	INFO 	Keyboard events cleared
26.1273 	EXP 	fixation: autoDraw = False
26.1273 	EXP 	grating: autoDraw = True
26.4275 	EXP 	grating: autoDraw = False
26.4338 	DATA 	Keypress: right
26.4440 	EXP 	fixation: autoDraw = False
26.4440 	EXP 	grating: autoDraw = False
26.4440 	EXP 	grating: ori = -18.0
26.4440 	EXP 	fixation: autoDraw = True
26.8140 	DATA 	Keypress: right
26.9450 	INFO 	Keyboard events cleared
26.9443 	EXP 	fixation: autoDraw = False
26.9443 	EXP 	grating: autoDraw = True
27.1984 	DATA 	Keypress: left
27.2111 	EXP 	fixation: autoDraw = False
27.2111 	EXP 	grating: autoDraw = False
27.2111 	EXP 	grating: ori = -18.0
27.2111 	EXP 	fixation: autoDraw = True
27.5800 	DATA 	Keypress: left
27.7114 	INFO 	Keyboard events cleared
27.7107 	EXP 	fixation: autoDraw = False
27.7107 	EXP 	grating: autoDraw = True
28.0107 	EXP 	grating: autoDraw = False
28.0150 	DATA 	Keypress: left
28.0275 	EXP 	fixation: autoDraw = False
28.0275 	EXP 	grating: autoDraw = False
28.0275 	EXP 	grating: ori = 18.0
28.0275 	EXP 	fixation: autoDraw = True
28.3969 	DATA 	Keypress: left
28.5284 	INFO 	Keyboard events cleared
28.5276 	EXP 	fixation: autoDraw = False
28.5276 	EXP 	grating: autoDraw = True
28.8269 	EXP 	grating: autoDraw = False
28.8491 	DATA 	Keypress: right
28.8604 	EXP 	fixation: autoDraw = False
28.8604 	EXP 	grating: autoDraw = False
28.8604 	EXP 	grating: ori = 17.5
28.8604 	EXP 	fixation: autoDraw = True
29.2128 	DATA 	Keypress: right
29.3622 	INFO 	Keyboard events cleared
29.3615 	EXP 	fixation: autoDraw = False
29.3615 	EXP 	grating: autoDraw = True
29.5823 	DATA 	Keypress: left
29.5937 	EXP 	fixation: autoDraw = False
29.5937 	EXP 	grating: autoDraw = False
29.5937 	EXP 	grating: ori = -18.0
29.5937 	EXP 	fixation: autoDraw = True
29.9634 	DATA 	Keypress: left
30.0948 	INFO 	Keyboard events cleared
30.0941 	EXP 	fixation: autoDraw = False
30.0941 	EXP 	grating: autoDraw = True
30.3820 	DATA 	Keypress: left
30.3937 	EXP 	grating: autoDraw = False
30.3937 	EXP 	fixation: autoDraw = False
30.3937 	EXP 	grating: autoDraw = False
30.3937 	EXP 	grating: ori = 18.0
30.3937 	EXP 	fixation: autoDraw = True
30.8131 	DATA 	Keypress: right
30.8952 	INFO 	Keyboard events cleared
30.8946 	EXP 	fixation: autoDraw = False
30.8946 	EXP 	grating: autoDraw = True
31.1165 	DATA 	Keypress: right
31.1274 	EXP 	fixation: autoDraw = False
31.1274 	EXP 	grating: autoDraw = False
31.1274 	EXP 	grating: ori = 18.0
31.1274 	EXP 	fixation: autoDraw = True
31.3956 	DATA 	Keypress: right
31.6282 	INFO 	Keyboard events cleared
31.6274 	EXP 	fixation: autoDraw = False
31.6274 	EXP 	grating: autoDraw = True
31.8164 	DATA 	Keypress: right
31.8272 	EXP 	fixation: autoDraw = False
31.8272 	EXP 	grating: autoDraw = False
31.8272 	EXP 	grating: ori = 17.5
31.8272 	EXP 	fixation: autoDraw = True
32.0975 	DATA 	Keypress: right
32.3291 	INFO 	Keyboard events cleared
32.3280 	EXP 	fixation: autoDraw = False
32.3280 	EXP 	grating: autoDraw = True
32.4834 	DATA 	Keypress: right
32.4942 	EXP 	fixation: autoDraw = False
32.4942 	EXP 	grating: autoDraw = False
32.4942 	EXP 	grating: ori = -17.5
32.4942 	EXP 	fixation: autoDraw = True
32.8629 	DATA 	Keypress: right
32.9951 	INFO 	Keyboard events cleared
32.9941 	EXP 	fixation: autoDraw = False
32.9941 	EXP 	grating: autoDraw = True
33.1993 	DATA 	Keypress: right
33.2104 	EXP 	fixation: autoDraw = False
33.2104 	EXP 	grating: autoDraw = False
33.2104 	EXP 	grating: ori = 18.0
33.2104 	EXP 	fixation: autoDraw = True
33.5801 	DATA 	Keypress: right
33.7113 	INFO 	Keyboard events cleared
33.7104 	EXP 	fixation: autoDraw = False
33.7104 	EXP 	grating: autoDraw = True
33.9154 	DATA 	Keypress: left
33.9272 	EXP 	fixation: autoDraw = False
33.9272 	EXP 	grating: autoDraw = False
33.9272 	EXP 	grating: ori = -18.5
33.9272 	EXP 	fixation: autoDraw = True
34.2966 	DATA 	Keypress: left
34.4285 	INFO 	Keyboard events cleared
34.4273 	EXP 	fixation: autoDraw = False
34.4273 	EXP 	grating: autoDraw = True
34.6821 	DATA 	Keypress: left
34.6947 	EXP 	fixation: autoDraw = False
34.6947 	EXP 	grating: autoDraw = False
34.6947 	EXP 	grating: ori = 18.5
34.6947 	EXP 	fixation: autoDraw = True
35.0307 	DATA 	Keypress: left
35.1950 	INFO 	Keyboard events cleared
35.1941 	EXP 	grating: autoDraw = True
35.2105 	EXP 	fixation: autoDraw = False
35.3989 	DATA 	Keypress: left
35.4106 	EXP 	fixation: autoDraw = False
35.4106 	EXP 	grating: autoDraw = False
35.4106 	EXP 	grating: ori = 19.0
35.4106 	EXP 	fixation: autoDraw = True
35.9115 	INFO 	Keyboard events cleared
35.9108 	EXP 	fixation: autoDraw = False
35.9108 	EXP 	grating: autoDraw = True
35.9142 	DATA 	Keypress: left
36.2101 	EXP 	grating: autoDraw = False
36.3150 	DATA 	Keypress: left
36.3273 	EXP 	fixation: autoDraw = False
